request_id,latency_ms,completed_at_ms,op
yscb_transfer:1002,11,1773332449011,yscb_transfer 791->371
yscb_transfer:1003,10,1773332449011,yscb_transfer 868->368
yscb_transfer:1005,9,1773332449011,yscb_transfer 577->613
yscb_transfer:1007,8,1773332449011,yscb_transfer 457->901
yscb_transfer:1001,12,1773332449012,yscb_transfer 750->769
yscb_transfer:1004,9,1773332449012,yscb_transfer 339->23
yscb_transfer:1006,8,1773332449012,yscb_transfer 357->530
yscb_transfer:1008,7,1773332449012,yscb_transfer 929->965
yscb_transfer:1010,8,1773332449013,yscb_transfer 707->53
yscb_transfer:1009,9,1773332449014,yscb_transfer 887->580
yscb_transfer:1011,2,1773332449017,yscb_transfer 770->946
yscb_transfer:1013,2,1773332449018,yscb_transfer 625->305
yscb_transfer:1012,2,1773332449018,yscb_transfer 748->986
yscb_transfer:1014,2,1773332449019,yscb_transfer 913->883
yscb_transfer:1015,2,1773332449019,yscb_transfer 409->884
yscb_transfer:1016,2,1773332449020,yscb_transfer 236->343
yscb_transfer:1017,2,1773332449020,yscb_transfer 61->271
yscb_transfer:1018,2,1773332449021,yscb_transfer 453->846
yscb_transfer:1019,2,1773332449021,yscb_transfer 911->41
yscb_transfer:1020,1,1773332449021,yscb_transfer 707->795
yscb_transfer:1021,2,1773332449033,yscb_transfer 883->421
yscb_transfer:1022,3,1773332449035,yscb_transfer 370->47
yscb_transfer:1025,3,1773332449036,yscb_transfer 979->525
yscb_transfer:1023,4,1773332449036,yscb_transfer 7->785
yscb_transfer:1024,3,1773332449036,yscb_transfer 605->321
yscb_transfer:1028,3,1773332449037,yscb_transfer 435->439
yscb_transfer:1029,3,1773332449037,yscb_transfer 298->699
yscb_transfer:1026,3,1773332449037,yscb_transfer 210->814
yscb_transfer:1027,4,1773332449037,yscb_transfer 777->441
yscb_transfer:1030,3,1773332449038,yscb_transfer 757->959
yscb_transfer:1031,1,1773332449047,yscb_transfer 401->25
yscb_transfer:1032,2,1773332449047,yscb_transfer 908->865
yscb_transfer:1033,2,1773332449048,yscb_transfer 742->118
yscb_transfer:1034,2,1773332449049,yscb_transfer 433->212
yscb_transfer:1035,3,1773332449050,yscb_transfer 880->258
yscb_transfer:1036,3,1773332449050,yscb_transfer 172->267
yscb_transfer:1037,3,1773332449050,yscb_transfer 6->493
yscb_transfer:1038,3,1773332449051,yscb_transfer 35->90
yscb_transfer:1039,3,1773332449051,yscb_transfer 29->410
yscb_transfer:1040,3,1773332449051,yscb_transfer 108->623
yscb_transfer:1041,1,1773332449060,yscb_transfer 424->515
yscb_transfer:1042,1,1773332449060,yscb_transfer 33->57
yscb_transfer:1044,2,1773332449061,yscb_transfer 18->154
yscb_transfer:1043,1,1773332449061,yscb_transfer 433->676
yscb_transfer:1045,2,1773332449062,yscb_transfer 69->740
yscb_transfer:1046,2,1773332449062,yscb_transfer 297->671
yscb_transfer:1047,2,1773332449063,yscb_transfer 449->223
yscb_transfer:1048,2,1773332449064,yscb_transfer 267->974
yscb_transfer:1049,2,1773332449064,yscb_transfer 249->530
yscb_transfer:1050,2,1773332449064,yscb_transfer 828->216
yscb_transfer:1051,1,1773332449075,yscb_transfer 670->663
yscb_transfer:1052,1,1773332449075,yscb_transfer 952->724
yscb_transfer:1053,2,1773332449076,yscb_transfer 529->638
yscb_transfer:1054,2,1773332449076,yscb_transfer 321->839
yscb_transfer:1055,2,1773332449077,yscb_transfer 380->817
yscb_transfer:1056,2,1773332449077,yscb_transfer 919->353
yscb_transfer:1057,2,1773332449077,yscb_transfer 417->6
yscb_transfer:1060,2,1773332449078,yscb_transfer 680->876
yscb_transfer:1059,2,1773332449078,yscb_transfer 569->14
yscb_transfer:1058,2,1773332449078,yscb_transfer 961->960
yscb_transfer:1061,1,1773332449087,yscb_transfer 49->937
yscb_transfer:1062,1,1773332449088,yscb_transfer 945->285
yscb_transfer:1063,1,1773332449089,yscb_transfer 909->994
yscb_transfer:1064,1,1773332449089,yscb_transfer 346->722
yscb_transfer:1065,2,1773332449090,yscb_transfer 18->60
yscb_transfer:1066,2,1773332449090,yscb_transfer 191->367
yscb_transfer:1067,2,1773332449091,yscb_transfer 678->753
yscb_transfer:1068,2,1773332449091,yscb_transfer 79->299
yscb_transfer:1069,2,1773332449091,yscb_transfer 441->375
yscb_transfer:1070,1,1773332449091,yscb_transfer 324->101
yscb_transfer:1071,1,1773332449103,yscb_transfer 578->329
yscb_transfer:1072,1,1773332449104,yscb_transfer 616->148
yscb_transfer:1073,1,1773332449104,yscb_transfer 133->4
yscb_transfer:1075,1,1773332449105,yscb_transfer 845->750
yscb_transfer:1074,1,1773332449105,yscb_transfer 588->293
yscb_transfer:1076,2,1773332449106,yscb_transfer 496->298
yscb_transfer:1077,1,1773332449106,yscb_transfer 204->641
yscb_transfer:1078,2,1773332449107,yscb_transfer 886->717
yscb_transfer:1079,2,1773332449107,yscb_transfer 33->996
yscb_transfer:1080,1,1773332449108,yscb_transfer 546->59
yscb_transfer:1081,1,1773332449117,yscb_transfer 581->446
yscb_transfer:1082,2,1773332449118,yscb_transfer 42->186
yscb_transfer:1083,2,1773332449119,yscb_transfer 582->285
yscb_transfer:1084,2,1773332449119,yscb_transfer 194->850
yscb_transfer:1085,2,1773332449119,yscb_transfer 178->955
yscb_transfer:1086,2,1773332449120,yscb_transfer 36->934
yscb_transfer:1087,2,1773332449120,yscb_transfer 467->116
yscb_transfer:1090,1,1773332449121,yscb_transfer 967->842
